Function,Calls,Total Time,Per Call,Cumulative Time,Per Call (Cumulative)
c:\Users\birik\github\SOGA\src\ASGMTParser.py:122(enterRule),62,62,7.87e-05,1.2693548387096774e-06,0.0021649,3.491774193548387e-05
c:\Users\birik\github\SOGA\src\TRUNCParser.py:655(enterRule),88,88,7.81e-05,8.875e-07,0.0001341,1.5238636363636365e-06
c:\Users\birik\github\SOGA\src\TRUNCParser.py:659(exitRule),88,88,6e-05,6.818181818181818e-07,9.640000000000001e-05,1.0954545454545455e-06
c:\Users\birik\github\SOGA\src\ASGMTParser.py:126(exitRule),62,62,5.41e-05,8.725806451612903e-07,7.61e-05,1.2274193548387098e-06
c:\Users\birik\github\SOGA\src\ASGMTParser.py:177(enterRule),62,62,8.43e-05,1.3596774193548388e-06,0.0030283000000000003,4.884354838709678e-05
c:\Users\birik\github\SOGA\src\ASGMTParser.py:181(exitRule),62,62,7.93e-05,1.2790322580645162e-06,0.002308,3.7225806451612904e-05
c:\Users\birik\github\SOGA\src\TRUNCParser.py:1067(enterRule),44,44,4.16e-05,9.454545454545455e-07,5.67e-05,1.2886363636363637e-06
c:\Users\birik\github\SOGA\src\TRUNCParser.py:1071(exitRule),44,44,2.8800000000000002e-05,6.545454545454546e-07,4.4200000000000004e-05,1.0045454545454547e-06
c:\Users\birik\github\SOGA\src\TRUNCParser.py:1081(getValue),44,44,7.91e-05,1.7977272727272726e-06,0.0005572,1.2663636363636364e-05
c:\Users\birik\github\SOGA\src\ASGMTParser.py:248(enterRule),116,116,0.0002045,1.7629310344827586e-06,0.021556000000000002,0.00018582758620689656
c:\Users\birik\github\SOGA\src\ASGMTParser.py:252(exitRule),116,116,8.290000000000001e-05,7.146551724137932e-07,0.0001309,1.128448275862069e-06
c:\Users\birik\github\SOGA\src\ASGMTParser.py:321(enterRule),137,137,0.00010580000000000001,7.722627737226278e-07,0.0001654,1.2072992700729928e-06
c:\Users\birik\github\SOGA\src\ASGMTParser.py:325(exitRule),137,137,8.560000000000001e-05,6.248175182481752e-07,0.0001261,9.204379562043796e-07
c:\Users\birik\github\SOGA\src\ASGMTParser.py:451(enterRule),106,106,8.72e-05,8.226415094339623e-07,0.0001373,1.2952830188679245e-06
c:\Users\birik\github\SOGA\src\ASGMTParser.py:455(exitRule),106,106,7.41e-05,6.990566037735848e-07,0.0001123,1.059433962264151e-06
c:\Users\birik\github\SOGA\src\ASGMTParser.py:525(enterRule),12,12,1.04e-05,8.666666666666667e-07,1.5700000000000002e-05,1.3083333333333334e-06
c:\Users\birik\github\SOGA\src\ASGMTParser.py:529(exitRule),12,12,9.600000000000001e-06,8.000000000000001e-07,1.4400000000000001e-05,1.2000000000000002e-06
c:\Users\birik\github\SOGA\src\ASGMTParser.py:600(enterRule),62,62,5.5100000000000004e-05,8.887096774193549e-07,7.350000000000001e-05,1.1854838709677422e-06
c:\Users\birik\github\SOGA\src\ASGMTParser.py:604(exitRule),62,62,4.85e-05,7.822580645161291e-07,8.22e-05,1.3258064516129034e-06
c:\Users\birik\github\SOGA\src\ASGMTParser.py:668(enterRule),186,186,0.0001179,6.338709677419355e-07,0.000181,9.731182795698924e-07
c:\Users\birik\github\SOGA\src\ASGMTParser.py:672(exitRule),186,186,0.00010800000000000001,5.806451612903227e-07,0.0001666,8.956989247311828e-07
c:\Users\birik\github\SOGA\src\ASGMTParser.py:167(add_term),80,80,6.0200000000000006e-05,7.525000000000001e-07,0.0002932,3.6650000000000005e-06
c:\Users\birik\github\SOGA\src\ASGMTParser.py:238(term),134,134,0.0001028,7.671641791044776e-07,0.0015672000000000001,1.1695522388059702e-05
c:\Users\birik\github\SOGA\src\ASGMTParser.py:513(IDV),34,34,1.94e-05,5.705882352941177e-07,0.00010910000000000001,3.208823529411765e-06
c:\Users\birik\github\SOGA\src\ASGMTParser.py:590(list_),186,186,0.0001033,5.553763440860216e-07,0.0010798000000000001,5.805376344086022e-06
c:\Users\birik\github\SOGA\src\ASGMTParser.py:299(NUM),230,230,0.00012460000000000002,5.417391304347826e-07,0.0005105,2.2195652173913045e-06
c:\Users\birik\github\SOGA\src\ASGMTParser.py:302(par),106,106,6.26e-05,5.905660377358491e-07,0.00022480000000000002,2.1207547169811324e-06
c:\Users\birik\github\SOGA\src\ASGMTParser.py:306(sub),137,137,9.48e-05,6.91970802919708e-07,0.000346,2.5255474452554743e-06
